物料编码,物料名称,周期,MOQ,MPQ
12.01.01.226,TF-Luna主板V1.3_纵慧,15,12000,1000
12.01.01.224,TFmini-S-K主板,15,1000,100
12.01.01.219,TF02-Pro-W主板,15,100,10
12.01.01.217,TF02主板V4.8,15,1200,100
12.01.01.216,工业版-CAN 转接板,15,800,100
12.01.01.215,TFmini-S主板 ,15,6000,1000
12.01.01.214,TF-luna主板 ,15,12000,1000
12.01.01.195,TF03-V2-功能板-4~20ma,1,1,1
12.01.01.194,S2R继电器主板,15,100,10
12.01.01.192,TF03-V3-接收板,15,1,1
12.01.01.191,TF03-V3-主板,20,1,1
12.01.01.189,工业版-485 转接板,19,800,100
12.01.01.171,TFmini-S-A主板 ,20,1,1
12.01.01.169,TF03-V2/V3-发射板,14,3300,100
12.01.01.165,TF03-V1-发射板,20,1,1
12.01.01.164,TF03-V2-接收板,15,1000,100
12.01.01.163,TF03-V1-接收板,20,1,1
12.01.01.159,TF03-V2/V3-功能板-CAN,1,1,1
12.01.01.155,TF02-Pro-W-485转接板,10,100,10
12.01.01.153,TF03-V2-功能板-485,1,1,1
12.01.01.144,TF03-V2-主板-4~20ma,21,300,100
12.01.01.142,TF03-V2-主板-485,21,600,100
12.01.01.140,TF03-V2-主板-CAN,31,1200,100
12.01.01.139,TFmini Plus-L-2400主板,22,6000,1000
12.01.01.136,TF02-Pro主板V4.6.6,15,1000,100
12.01.01.135,TFmini-S-R主板,31,1000,100
12.01.01.127,TF通用转接板 V1.0,20,100,10
12.01.01.125,TF03-V1-主板,20,1,1
10.06.03.011,紫外线固化胶,30,5,1
10.06.03.010,紫外光固化胶,20,10,1
10.06.03.009,螺纹紧固剂,90,5,1
10.06.03.008,双组分丙烯酸胶黏剂,15,2,1
10.06.03.007,UV胶,1,1,1
10.06.03.006,双组分聚氨酯胶黏剂,45,12,1
10.06.03.005,导热凝脂,21,2,1
10.06.03.004,丙烯酸速干胶,15,2,1
10.06.03.003,银硅胶,15,2,1
10.06.03.002,硅橡胶,30,10,1
10.06.02.400,TFmini-i安装说明,1,1,1
10.06.02.399,TF合格证,15,4000,1
10.06.02.399,TF合格证,15,4000,1
10.06.02.396,高温胶带,10,1,1
10.06.02.395,“使用前请撕保护膜”标签,1,1,1
10.06.02.062,报告专用纸（无logo）,10,100,1
10.06.02.061,铜版纸不干胶标签,1,960,1
10.06.02.060,导热垫,21,200,1
