产品族,工序名称,包装方式,物料编码,物料名称,机器ID1,机器ID2,机器ID3,机器ID4,标准工时,人数MAX,人数MIN
tf-mini-i,转接板烧程序,,13.01.04.051,TFmini-i-485(整箱) 2m散线,485 CAN 转接板烧录工装,,,,6.7,1,1
tf-mini-i,转接板分板,,13.01.04.051,TFmini-i-485(整箱) 2m散线,分板治具,,,,6.6,1,1
tf-mini-i,主板安装+粘贴SN标签,,13.01.04.051,TFmini-i-485(整箱) 2m散线,,,,,56.5,1,1
tf-mini-i,前壳组装,,13.01.04.051,TFmini-i-485(整箱) 2m散线,TFm-mini工业版镜片压合工装,,,,27.6,1,1
tf-mini-i,转接板安装,,13.01.04.051,TFmini-i-485(整箱) 2m散线,TF-mini工业版转接板组装治具,,,,62.2,2,2
tf-mini-i,后壳组装,,13.01.04.051,TFmini-i-485(整箱) 2m散线,,,,,113.8,3,3
tf-mini-i,整机组装,,13.01.04.051,TFmini-i-485(整箱) 2m散线,TF-mini-工业版前壳组装治具,半自动点胶机,,,62.2,4,4
tf-mini-i,定点测试,,13.01.04.051,TFmini-i-485(整箱) 2m散线,,,,,40.75,1,1
tf-mini-i,包装,整箱,13.01.04.051,TFmini-i-485(整箱) 2m散线,,,,,60.0,1,1
tf-02-i,主板程序烧录,,13.01.02.033,TF02-i-485(整箱包装)-V1.0,TF02-PRO整拼烧写工装,,,,4.1,1,1
tf-02-i,发射/接受透镜安装,,13.01.02.033,TF02-i-485(整箱包装)-V1.0,TF02-PRO镜头组装工装（新版）,,,,39.1,1,1
tf-02-i,发射/接受透镜固定,,13.01.02.033,TF02-i-485(整箱包装)-V1.0,,,,,41.61,1,1
tf-02-i,尾线组装,,13.01.02.033,TF02-i-485(整箱包装)-V1.0,,,,,29.07,1,1
tf-02-i,尾线点胶,,13.01.02.033,TF02-i-485(整箱包装)-V1.0,半自动点胶机,TF02尾线压合工装,,,55.18,1,1
tf-02-i,粘贴SN标签,,13.01.02.033,TF02-i-485(整箱包装)-V1.0,,,,,15.5,1,1
tf-02-i,镜片安装,,13.01.02.033,TF02-i-485(整箱包装)-V1.0,,,,,31.24,1,1
