所用工序,产品族,前置工序,后置工序,切换时间(s),,,,,,,,,,,,,,
组装,tf-02-i,主板程序烧录,粘贴SN标签,300,,,,,,,,,,,,,,
组装,tf-02-i,粘贴SN标签,镜片贴合,300,,,,,,,,,,,,,,
组装,tf-02-i,镜片贴合,密封圈安装,300,,,,,,,,,,,,,,
组装,tf-02-i,转接板程序烧录,尾线点胶,300,,,,,,,,,,,,,,
组装,tf-02-i,尾线点胶,发射/接受透镜安装,300,,,,,,,,,,,,,,
组装,tf-02-i,发射/接受透镜安装,前壳模组安装,300,,,,,,,,,,,,,,
组装,tf-02-i,转接板分板,后壳穿线,300,,,,,,,,,,,,,,
组装,tf-02-pro,主板程序烧录,密封圈组装+UV固化,300,,,,,,,,,,,,,,
组装,tf-02-pro,镜片贴合,发射/接收透镜安装和固定,300,,,,,,,,,,,,,,
组装,tf-02-pro,镜片压合+粘贴SN标签,主板分板+前壳模组安装,300,,,,,,,,,,,,,,
组装,tf-02-pro,后壳穿线+尾线点胶,后壳安装,300,,,,,,,,,,,,,,
组装,tf-02-pro-w,主板程序烧录,镜片安装,300,,,,,,,,,,,,,,
组装,tf-02-pro-w,发射/接收透镜安装和固定,粘贴SN标签+装盘,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-03,,,300,,,,,,,,,,,,,,
测试,tf-03,,,300,,,,,,,,,,,,,,
包装,tf-03,,,300,,,,,,,,,,,,,,
包装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
测试,tf-350,,,300,,,,,,,,,,,,,,
包装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-luna,,,300,,,,,,,,,,,,,,
组装,tf-luna,,,300,,,,,,,,,,,,,,
组装,tf-luna,,,300,,,,,,,,,,,,,,
组装,tf-luna,,,300,,,,,,,,,,,,,,
组装,tf-luna,,,300,,,,,,,,,,,,,,
测试,tf-luna,,,300,,,,,,,,,,,,,,
包装,tf-luna,,,300,,,,,,,,,,,,,,
包装,tf-luna,,,300,,,,,,,,,,,,,,
组装,tf-luna-m,,,300,,,,,,,,,,,,,,
组装,tf-luna-m,,,300,,,,,,,,,,,,,,
组装,tf-luna-m,,,300,,,,,,,,,,,,,,
组装,tf-luna-m,,,300,,,,,,,,,,,,,,
组装,tf-luna-m,,,300,,,,,,,,,,,,,,
测试,tf-luna-m,,,300,,,,,,,,,,,,,,
包装,tf-luna-m,,,300,,,,,,,,,,,,,,
组装,tf-mini-i,,,300,,,,,,,,,,,,,,
组装,tf-mini-i,,,300,,,,,,,,,,,,,,
组装,tf-mini-i,,,300,,,,,,,,,,,,,,
组装,tf-mini-i,,,300,,,,,,,,,,,,,,
测试,tf-mini-i,,,300,,,,,,,,,,,,,,
包装,tf-mini-i,,,300,,,,,,,,,,,,,,
包装,tf-mini-i,,,300,,,,,,,,,,,,,,
组装,tf-mini-plus,主板程序烧录,后壳穿线,300,,,,,,,,,,,,,,
组装,tf-mini-plus,主板分板+安装主板+上料,尾线点胶+UV固化,300,,,,,,,,,,,,,,
组装,tf-mini-plus,主板螺丝固定,后壳端子安装,300,,,,,,,,,,,,,,
组装,tf-mini-plus,粘贴SN标签+装盘,超声波焊接,300,,,,,,,,,,,,,,
组装,tf-mini-s-r,主板程序烧录,主板安装+上料,300,,,,,,,,,,,,,,
组装,tf-mini-s-r,主板端子点胶固定,主板固定,300,,,,,,,,,,,,,,
组装,tf-mini-s-r,主板分板,主板刷三防漆,300,,,,,,,,,,,,,,
组装,tf-mini-s-r,粘贴SN标签+装盘,光斑筛选,300,,,,,,,,,,,,,,
组装,tf-S2R,主板分板,装显示屏/调试,300,,,,,,,,,,,,,,
组装,tf-S2R,主板程序烧录,粘贴SN标签,300,,,,,,,,,,,,,,
组装,tf-S2R,主板刷三防漆,安装显示屏,300,,,,,,,,,,,,,,
组装,tf-S2R,通信检验,端子处粘贴SN标签,300,,,,,,,,,,,,,,
组装,tf-mini-s,主板程序烧录,粘贴SN标签+装盘,300,,,,,,,,,,,,,,
组装,tf-mini-s,主板分板,主板安装,300,,,,,,,,,,,,,,
