机器ID,产品族,工序,临时用,机器名称,使用车间
SYTFGZZ001,tf-02-i,面板压合,tf-02-i面板压合,TF02-PRO-2-6-02镜片压合工装,组装车间
SYTFSDJ004/SYTFSDJ005,tf-02-i,尾线点胶,tf-02-i尾线点胶,半自动点胶机,组装车间
SYTFGZZ006,tf-02-i,尾线点胶,tf-02-i尾线点胶,TF02尾线压合工装,组装车间
SYTFGSX001,tf-02-i,转接板烧程序,tf-02-i转接板烧程序,485 CAN 转接板烧录工装,组装车间
SYTFZZZ009/SYTFZZZ022,tf-02-i,转接板分板,tf-02-i转接板分板,分板治具,组装车间
SYTFGSX002,tf-02-i,主板程序烧录,tf-02-i主板程序烧录,TF02-PRO整拼烧写工装,组装车间
SYTFZZZ009/SYTFZZZ022,tf-02-i,主板分板,tf-02-i主板分板,分板治具,组装车间
SYTFSDJ007,tf-02-i,尾壳组件UV固化,tf-02-i尾壳组件UV固化,UV固化炉,组装车间
SYTFGZZ010,tf-02-i,发射/接受透镜安装,tf-02-i发射/接受透镜安装,TF02-PRO镜头组装工装（新版）,组装车间
SYTFSZZ011,tf-02-i,固定发射/接受镜头,tf-02-i固定发射/接受镜头,智能电批（含∅2mm吸嘴、∅2mm供料器）,组装车间
SYTFSDJ004/SYTFSDJ005,tf-02-i,固定发射/接受镜头,tf-02-i固定发射/接受镜头,半自动点胶机,组装车间
SYTFZZZ009,tf-02-i,前壳模组组装,tf-02-i前壳模组组装,TF02-PRO前壳组装治具,组装车间
SYTFSDJ004/SYTFSDJ005,tf-02-i,后盖点胶,tf-02-i后盖点胶,半自动点胶机,组装车间
SYTFSZZ011,tf-02-i,固定转接板,tf-02-i固定转接板,智能电批（含∅2mm吸嘴、∅2mm供料器）,组装车间
SYTFSDJ007,tf-02-i,固定发射/接受镜头,tf-02-i固定发射/接受镜头,UV固化炉,组装车间
SYTFSDJ004/SYTFSDJ005,tf-02-i,整机组装,tf-02-i整机组装,半自动点胶机,组装车间
SYTFSZZ011,tf-02-i,整机组装,tf-02-i整机组装,智能电批（含∅2mm吸嘴、∅2mm供料器）,组装车间
SYTFGJZ005,tf-02-i,校准测试,tf-02-i校准测试,TF02-PRO校准工装,校准车间
SYTFGZZ001,tf-02-pro,面板压合,tf-02-pro面板压合,TF02-PRO镜片压合工装,组装车间
SYTFGSX002,tf-02-pro,主板程序烧录,tf-02-pro主板程序烧录,TF02-PRO整拼烧写工装,组装车间
SYTFGJZ005,tf-02-pro,校准测试,tf-02-pro校准测试,TF02-PRO校准工装,校准车间
SYTFSDJ004/SYTFSDJ005,tf-02-pro,后壳穿线+尾线点胶,tf-02-pro后壳穿线+尾线点胶,半自动点胶机,组装车间
SYTFGZZ006,tf-02-pro,后壳穿线+尾线点胶,tf-02-pro后壳穿线+尾线点胶,TF02尾线压合工装,组装车间
SYTFSDJ007,tf-02-pro,后壳穿线+尾线点胶,tf-02-pro后壳穿线+尾线点胶,UV固化炉,组装车间
