物料编码,物料名称,现有库存,安全库存,最小批量,阶梯数量
12.01.01.125,TF03-V1-主板,,0,100,10
12.01.01.127,TF通用转接板 V1.0,,100,100,10
12.01.01.135,TFmini-S-R主板,,0,1000,100
12.01.01.136,TF02-Pro主板V4.6.6,,0,800,100
12.01.01.139,TFmini Plus-L-2400主板,,3000,6000,1000
12.01.01.140,TF03-V2-主板-CAN,,600,1200,100
12.01.01.142,TF03-V2-主板-485,,300,600,100
12.01.01.144,TF03-V2-主板-4~20ma,,100,300,100
12.01.01.153,TF03-V2-功能板-485,,0,600,100
12.01.01.155,TF02-Pro-W-485转接板,,100,300,10
12.01.01.159,TF03-V2/V3-功能板-CAN,,0,1200,100
12.01.01.163,TF03-V1-接收板,,0,100,10
12.01.01.164,TF03-V2-接收板,,1000,1000,100
12.01.01.165,TF03-V1-发射板,,0,100,10
12.01.01.169,TF03-V2/V3-发射板,,1000,3300,100
12.01.01.171,TFmini-S-A主板 ,,0,1000,100
12.01.01.189,工业版-485 转接板,,500,800,100
12.01.01.191,TF03-V3-主板,,0,100,10
12.01.01.192,TF03-V3-接收板,,0,100,10
12.01.01.194,S2R继电器主板,,200,100,10
12.01.01.195,TF03-V2-功能板-4~20ma,,0,300,100
12.01.01.214,TF-luna主板 ,,6000,12000,1000
12.01.01.215,TFmini-S主板 ,,2000,6000,1000
12.01.01.216,工业版-CAN 转接板,,500,800,100
12.01.01.217,TF02主板V4.8,,800,1200,100
12.01.01.219,TF02-Pro-W主板,,0,100,10
12.01.01.224,TFmini-S-K主板,,0,1000,100
12.01.01.225,TFmini-S-05主板,,0,1000,100
12.01.01.226,TF-Luna主板V1.3_纵慧,,6000,12000,1000
