物料编码,物料名称,物料属性,物料分组,产品类型,产品族,包装方式,组装人数MAX,组装人数MIN,测试人数MAX,测试人数MIN,包装人数MAX,包装人数MIN,采购周期,MOQ,MPQ,安全库存
13.01.02.036,TF02-i-CAN(单品包装)-V1.0,TF,成品,标品,tf-02-i,单品,4,2,1,1,3,1,,100,50,28
13.01.02.035,TF02-i-485(单品包装)-V1.0,TF,成品,标品,tf-02-i,单品,4,2,1,1,3,1,,100,50,25
13.01.02.034,TF02-i-CAN(整箱包装)-V1.0,TF,成品,标品,tf-02-i,整箱,4,2,1,1,2,1,,100,50,0
13.01.02.033,TF02-i-485(整箱包装)-V1.0,TF,成品,标品,tf-02-i,整箱,4,2,1,1,2,1,,100,50,0
DZ.01.02.023.HNHL,TF02-Pro标品(整箱包装)-V1.0-HNHL,TF,成品,定制,tf-02-pro,整箱,4,2,1,1,2,1,,200,50,0
13.01.02.040,TF02-Pro-SY,TF,成品,定制,tf-02-pro,整箱,4,2,1,1,2,1,,100,50,70
13.01.02.039,TF02-Pro-Breezer,TF,成品,定制,tf-02-pro,整箱,4,2,1,1,2,1,,100,50,0
13.01.02.031,TF02-Pro-I²C(单品包装)-V1.0,TF,成品,标品,tf-02-pro,单品,4,2,1,1,3,1,,200,100,0
13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,TF,成品,定制,tf-02-pro,整箱,4,2,1,1,2,1,,100,100,0
13.01.02.024,TF02-Pro标品(单品包装)-V1.0,TF,成品,标品,tf-02-pro,单品,4,2,1,1,3,1,,200,100,167
13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,TF,成品,标品,tf-02-pro,整箱,4,2,1,1,2,1,,400,100,122
13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,TF,成品,定制,tf-02-pro-w,单品,4,2,1,1,2,1,,100,10,20
13.01.02.037,TF02-Pro-W(单品包装)-V1.0,TF,成品,定制,tf-02-pro-w,单品,4,2,1,1,2,1,,100,10,0
13.01.02.030,TF02-Pro-W-485(整箱包装)-V1.0,TF,成品,定制,tf-02-pro-w,整箱,4,2,1,1,2,1,,100,50,0
13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,TF,成品,定制,tf-02-pro-w,整箱,4,2,1,1,2,1,,100,100,0
13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),TF,成品,定制,tf-03,整箱,4,2,1,1,2,1,,30,10,0
13.01.05.034,TF03-CAN,TF,成品,定制,tf-03,单品,4,2,1,1,2,1,,100,100,0
13.01.05.033,TF03-485-无LOGO,TF,成品,定制,tf-03,整箱,4,2,1,1,2,1,,100,100,0
13.01.05.032,TF03-UART-无LOGO,TF,成品,定制,tf-03,整箱,4,2,1,1,2,1,,100,100,0
13.01.05.021,TF03-V3-MT,TF,成品,定制,tf-03,整箱,4,2,1,1,2,1,,50,10,0
13.01.05.018,TF03-485(整箱包装)-V1.1,TF,成品,标品,tf-03,整箱,4,2,1,1,2,1,,120,60,37
13.01.05.017,TF03-UART(整箱包装)-V1.1,TF,成品,标品,tf-03,整箱,4,2,1,1,2,1,,120,60,37
13.01.05.016,TF03-232(单品包装)-V1.0,TF,成品,标品,tf-03,单品,4,2,1,1,2,1,,120,120,8
13.01.05.015,TF03-232(整箱包装)-V1.0,TF,成品,标品,tf-03,整箱,4,2,1,1,2,1,,120,60,0
13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,TF,成品,标品,tf-03,单品,4,2,1,1,2,1,,60,10,11
13.01.05.011,TF03-180 4~20mA（单品包装）-V1.0,TF,成品,标品,tf-03,单品,4,2,1,1,2,1,,30,10,3
13.01.05.006,TF03-485(单品包装)-V1.1,TF,成品,标品,tf-03,单品,4,2,1,1,2,1,,120,60,32
13.01.05.005,TF03-UART(单品包装)-V1.1,TF,成品,标品,tf-03,单品,4,2,1,1,2,1,,120,60,47
13.01.09.004,TF350-4~20mA(单品包装)-V1.0,TF,成品,标品,tf-350,单品,4,2,1,1,2,1,,1,1,0
13.01.09.003,TF350-232(单品包装)-V1.0,TF,成品,标品,tf-350,单品,4,2,1,1,2,1,,20,5,5
13.01.09.002,TF350-485(单品包装)-V1.0,TF,成品,标品,tf-350,单品,4,2,1,1,2,1,,50,10,20
13.01.09.001,TF350-UART(单品包装)-V1.0,TF,成品,标品,tf-350,单品,4,2,1,1,2,1,,20,5,4
13.01.07.011,TF-Luna-OW1,TF,成品,已有定制,tf-luna,整箱,3,2,1,1,3,1,,1000,100,0
13.01.07.010,TF-Luna-OW,TF,成品,已有定制,tf-luna,整箱,3,2,1,1,3,1,,1000,100,0
13.01.07.009,TF-Luna-M-ASU,TF,成品,标品,tf-luna,整箱,3,2,1,1,2,1,,500,100,0
13.01.07.008,TF-Luna-ASU,TF,成品,标品,tf-luna,整箱,3,2,1,1,2,1,,500,100,0
13.01.07.007,TF-Luna-N(单品包装),TF,成品,标品,tf-luna,单品,3,2,1,1,2,1,,100,100,0
