任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
91,ID350,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1294,9:0,19:0
105,ID438,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,68,9:0,11:15
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,90,15:30,19:0
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,90,9:0,15:9
106,ID441,13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,组装,49,15:39,19:0
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,99,9:0,15:39
105,ID438,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,120,15:39,16:9
105,ID438,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,120,16:9,16:39
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,99,9:0,15:39
97,ID445,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,包装,459,16:39,19:0
104,ID437,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,108,11:15,19:0
