任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
116,ID597,13.01.07.001,TF-luna(标品/单品包装)-V1.0,测试,1051,9:0,16:54
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,1404,9:0,15:57
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,177,15:57,19:0
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,1605,9:0,16:48
116,ID597,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,329,16:48,19:0
116,ID597,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,424,9:0,10:12
116,ID597,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,309,16:54,19:0
114,ID599,13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,包装,21,9:0,9:9
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,1970,9:9,19:0
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,1722,10:12,19:0
