生产ID,任务来源ID,物料编码,物料名称,需补货数量,预计开始时间,需入库时间,优先级,所包含销售订单
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,418,2023-09-21,2023-10-13,PO(客户已付款),ID48
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,418,2023-09-22,2023-10-15,PO(客户已付款),ID88
11,ID37,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),30,2023-09-24,2023-10-08,PR(客户提出付款意向),ID37
12,ID41,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,204,2023-09-27,2023-10-12,PO(客户已付款),ID41
13,ID28,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,2023-09-27,2023-10-08,YG(供应链预估),"ID5,ID28,ID44,ID55,ID78,ID97,ID120,ID142,ID165"
14,ID268,13.01.05.017,TF03-UART(整箱包装)-V1.1,1492,2023-09-27,2023-11-15,PO(客户已付款),ID268
15,ID42,DZ.01.02.023.ZM02 ,TF02-Pro标品(整箱包装)-V1.0-泽牧标品尾线定制,130,2023-09-27,2023-10-12,PO(客户付款),ID42
16,ID49,13.01.02.036,TF02-i-CAN(单品包装)-V1.0,52,2023-10-04,2023-10-13,PO(客户已付款),ID49
17,ID50,13.01.02.039,TF02-Pro-Breezer,100,2023-10-04,2023-10-13,PR(客户提出付款意向),ID50
18,ID51,13.01.04.060,TFmini-S-LH (单品包装)-V1.0,100,2023-10-04,2023-10-13,PO(客户付款),ID51
19,ID12,13.01.05.005,TF03-UART(单品包装)-V1.1,120,2023-10-04,2023-10-08,YG(供应链预估),"ID12,ID62,ID104"
20,ID32,13.01.05.018,TF03-485(整箱包装)-V1.1,120,2023-10-04,2023-10-08,YG(供应链预估),"ID18,ID32,ID68,ID82,ID110,ID124,ID155,ID169,ID209,ID223,ID249,ID263"
21,ID89,13.01.07.008,TF-Luna-ASU,900,2023-10-04,2023-10-15,PR(客户提出付款意向),ID89
22,ID92,DZ.01.02.023.ZM,TF02-Pro标品(整箱包装)-V1.0-泽牧9mm尾线定制,250,2023-10-04,2023-10-16,PO(客户付款),ID92
23,ID93,13.01.04.062,TFmini-S-K-(整箱包装)-V1.0,2300,2023-10-05,2023-10-20,PO(客户付款),ID93
24,ID9,13.01.04.035,TFmini-S-IC(单品包装)-V1.0,200,2023-10-06,2023-10-08,YG(供应链预估),"ID9,ID59,ID101,ID146,ID200,ID240,ID279,ID316,ID363,ID399,ID456,ID493,ID528,ID568,ID629,ID669,ID709,ID749,ID810,ID877"
