任务号,任务来源ID,物料编码,物料名称,总数量,完成数量,实际开始时间,实际完成时间,需入库时间,是否按时完成,延期天数,优先级,未完成原因,所包含订单
1,SCDD2023091534,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,50,"[50, 50]",2023-10-08 00:00:00,2023-10-08,2023-10-16,Yes,8,历史遗留订单,无,SCDD2023091534
2,SCDD2023091535,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,100,"[100, 100]",2023-10-08 00:00:00,2023-10-09,2023-10-12,Yes,3,历史遗留订单,无,SCDD2023091535
3,SCDD2023091549,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,390,"[119, 390]",2023-10-08 00:00:00,2023-10-09,2023-10-16,Yes,7,历史遗留订单,无,SCDD2023091549
4,SCDD2023091551,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,710,"[514, 710]",2023-10-08 00:00:00,2023-10-11,2023-10-16,Yes,5,历史遗留订单,无,SCDD2023091551
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,1500,"[850, 1500, 1500]",2023-10-08 00:00:00,2023-10-10,2023-10-10,Yes,0,历史遗留订单,无,SCDD2023091555
6,FGDD2023100600,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,130,"[130, 130]",2023-10-08 00:00:00,2023-10-08,2023-10-12,Yes,4,历史遗留订单,无,FGDD2023100600
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,3000,"[3000, 3000, 3000]",2023-10-08 00:00:00,2023-10-11,2023-11-12,Yes,32,历史遗留订单,无,SCDD2023091557
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,200,"[200, 200, 200]",2023-10-08 00:00:00,2023-10-10,2023-10-08,No,-2,历史遗留订单,优先级不足,SCDD2023091556
9,ID48,13.01.05.017,TF03-UART(整箱包装)-V1.1,418,"[418, 418, 418]",2023-12-18 00:00:00,2023-12-20,2023-10-13,No,-68,PO(客户已付款),"原材料不足,关键物料:12.01.01.140有货时间:2023-12-18",ID48
10,ID88,13.01.05.017,TF03-UART(整箱包装)-V1.1,418,"[418, 418, 418]",2023-12-20 00:00:00,2023-12-23,2023-10-15,No,-69,PO(客户已付款),"优先级不足,关键物料12.01.01.140有货时间:2023-12-18",ID88
11,ID37,13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),30,"[30, 30, 30]",2023-12-20 00:00:00,2023-12-21,2023-10-08,No,-74,PR(客户提出付款意向),"优先级不足,关键物料12.01.01.140有货时间:2023-12-18",ID37
12,ID41,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,204,"[204, 204, 204]",2023-11-16 00:00:00,2023-11-17,2023-10-12,No,-36,PO(客户已付款),"原材料不足,关键物料:12.01.01.217有货时间:2023-11-16",ID41
13,ID28,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,400,"[0, 0, 0]",未开始,2024-07-13,2023-10-08,No,-279,YG(供应链预估),"原材料不足,关键物料:12.01.01.136有货时间:2024-08-06","ID5,ID28,ID44,ID55,ID78,ID97,ID120,ID142,ID165"
14,ID268,13.01.05.017,TF03-UART(整箱包装)-V1.1,1492,"[1492, 1492, 1492]",2024-02-02 00:00:00,2024-02-14,2023-11-15,No,-91,PO(客户已付款),"原材料不足,关键物料:12.01.01.164有货时间:2024-02-02",ID268
15,ID42,DZ.01.02.023.ZM02 ,TF02-Pro标品(整箱包装)-V1.0-泽牧标品尾线定制,130,"[130, 130, 130]",2023-11-16 00:00:00,2023-11-16,2023-10-12,No,-35,PO(客户付款),"原材料不足,关键物料:12.01.01.217有货时间:2023-11-16",ID42
