任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,日期,开始时间,结束时间
2,SCDD2023091535,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,测试,100,10-08,9:0,13:21
6,FGDD2023100600,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,包装,130,10-08,13:51,14:21
6,FGDD2023100600,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,包装,130,10-08,14:21,14:51
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,组装,200,10-08,14:51,18:6
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,组装,65,10-08,18:6,19:0
1,SCDD2023091534,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,包装,50,10-08,13:21,13:36
1,SCDD2023091534,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,包装,50,10-08,13:36,13:51
98,ID485,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,-1940,10-08,14:3,9:0
98,ID485,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,-1940,10-08,14:3,9:0
98,ID485,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,-1940,10-08,14:3,9:0
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,850,10-08,9:0,11:3
4,SCDD2023091551,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,测试,247,10-08,11:3,19:0
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,850,10-08,9:0,11:3
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2289,10-08,11:3,19:0
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,组装,850,10-08,9:0,11:3
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2289,10-08,11:3,19:0
6,FGDD2023100600,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,测试,130,10-08,9:0,14:18
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1491,10-08,14:18,19:0
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,测试,745,10-08,9:3,19:0
1,SCDD2023091534,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,测试,50,10-08,9:0,10:18
3,SCDD2023091549,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,测试,119,10-08,10:18,14:24
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,组装,200,10-08,14:24,17:9
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,组装,98,10-08,17:9,19:0
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,组装,135,10-09,9:0,10:51
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,1380,10-09,17:21,19:0
2,SCDD2023091535,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,包装,100,10-09,14:48,15:12
2,SCDD2023091535,13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,包装,100,10-09,15:12,15:36
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,10-09,10:51,11:42
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,10-09,11:42,13:33
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,200,10-09,15:48,17:15
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,10-09,13:33,14:24
98,ID485,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,-1940,10-09,10:6,14:18
98,ID485,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,-1940,10-09,13:54,14:24
98,ID485,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,-1940,10-09,13:54,14:24
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,10-09,14:24,14:33
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,10-09,14:33,14:42
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,10-09,15:36,15:45
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,2,10-09,17:15,17:18
4,SCDD2023091551,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,测试,267,10-09,9:0,16:57
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,1380,10-09,17:21,19:0
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,2,10-09,16:57,17:3
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,2,10-09,17:15,17:18
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,10-09,17:3,17:12
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,711,10-09,9:0,11:0
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,989,10-09,11:0,19:0
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,711,10-09,9:0,11:0
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,测试,87,10-09,15:36,19:0
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,10-09,11:0,11:51
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,10-09,11:51,13:42
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,10-09,13:42,14:33
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,10-09,14:33,15:24
38,ID67,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,10-09,15:24,15:33
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1509,10-09,9:0,14:15
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,测试,200,10-09,14:15,17:9
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,186,10-09,17:9,19:0
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,测试,750,10-09,9:0,19:0
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,组装,102,10-09,9:0,10:24
3,SCDD2023091549,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,包装,390,10-09,10:24,13:6
3,SCDD2023091549,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,包装,390,10-09,13:6,14:48
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,200,10-09,15:48,17:15
35,ID129,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,172,10-09,17:15,19:0
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,200,10-09,14:48,15:39
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,10-09,15:39,15:48
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,120,10-10,9:0,9:6
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,包装,200,10-10,11:9,13:51
96,ID484,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,200,10-10,13:51,15:18
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,10-10,9:6,09:33
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,10-10,15:18,16:3
26,ID36,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,10-10,16:3,16:48
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,56,10-10,16:48,19:0
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,2,10-10,09:33,09:42
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,2,10-10,10:6,10:12
41,ID109,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,2,10-10,10:24,10:27
48,ID173,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,10-10,10:27,10:54
5,SCDD2023091555,13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,包装,120,10-10,9:0,9:6
8,SCDD2023091556,13.01.02.024,TF02-Pro标品(单品包装)-V1.0,包装,200,10-10,11:9,13:51
21,ID89,13.01.07.008,TF-Luna-ASU,组装,900,10-10,13:51,16:24
