任务号,父物料编码,父物料名称,工序,子物料编码,子物料所需数量,子物料有货时间
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.03.02.120,418,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.03.02.178,418,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.03.02.133,418,2023-11-06
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.03.02.179,418,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.03.02.272,418,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.03.02.127,418,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.03.02.180,418,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.03.02.130,418,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.04.03.047,418,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.04.13.064,418,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.04.13.018,418,2023-10-20
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.04.13.019,418,2023-10-20
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,418,2023-11-16
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.169,418,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.140,418,2023-12-18
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.02.02.012,1254,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.02.02.016,1672,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.02.01.034,1672,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.02.01.073,1672,2023-10-28
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.03.02.131,418,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.03.02.132,418,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,10.04.13.038,418,2023-10-08
