物料编码,数量,开始制作时间,需入库时间
12.01.01.164,1300,2023-10-30,2023-11-16
12.01.01.140,1200,2023-11-11,2023-12-18
12.01.01.169,3300,2023-11-11,2023-11-28
12.01.01.217,1200,2023-10-30,2023-11-16
12.01.01.164,2300,2024-01-16,2024-02-02
12.01.01.140,2100,2023-12-18,2024-01-23
12.01.01.136,800,2023-10-08,2023-10-25
12.01.01.219,100,2023-10-08,2023-10-25
12.01.01.224,2300,2023-11-29,2023-12-16
12.01.01.217,1800,2023-11-11,2023-11-29
12.01.01.214,12000,2023-11-25,2023-12-13
12.01.01.215,6000,2024-01-16,2024-02-02
12.01.01.217,3800,2024-01-16,2024-02-02
12.01.01.136,3200,2024-06-06,2024-06-24
12.01.01.155,490,2023-11-11,2023-11-23
12.01.01.214,12000,2024-01-16,2024-02-02
12.01.01.164,1200,2024-02-10,2024-02-28
12.01.01.214,12000,2024-01-20,2024-02-07
12.01.01.139,6000,2024-01-20,2024-02-15
12.01.01.169,3300,2023-11-11,2023-11-28
12.01.01.140,1200,2023-11-13,2023-12-19
12.01.01.214,12000,2024-01-20,2024-02-07
12.01.01.139,6000,2024-02-02,2024-02-28
12.01.01.214,12000,2024-02-02,2024-02-20
12.01.01.144,300,2023-12-18,2024-01-11
12.01.01.215,6000,2024-03-04,2024-03-21
12.01.01.142,600,2024-01-15,2024-02-08
12.01.01.164,1200,2024-02-10,2024-02-28
12.01.01.194,280,2023-11-11,2023-11-29
12.01.01.139,12000,2024-03-20,2024-04-15
12.01.01.214,12000,2024-03-20,2024-04-06
12.01.01.139,6000,2024-03-20,2024-04-15
12.01.01.140,1200,2024-01-15,2024-02-20
12.01.01.215,6000,2024-03-30,2024-04-17
12.01.01.164,1200,2024-03-09,2024-03-27
12.01.01.142,600,2024-07-19,2024-08-13
12.01.01.189,800,2023-10-08,2023-10-30
