任务号,父物料编码,父物料名称,工序,半成品编码,半成品所需数量,子物料编码,子物料所需数量,子物料有货时间
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.12.026,1300,2023-10-30
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.02.202,2600,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.02.203,1300,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.02.204,1300,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.02.198,1300,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.02.210,28600,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.02.206,1300,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.02.155,1300,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.02.112,9100,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.02.061,2600,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.02.117,2600,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.01.005,1300,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.01.287,2600,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.01.295,1300,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.01.277,2600,2023-10-08
9,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,12.01.01.164,1300,10.04.01.289,1300,2023-10-08
